               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.030837,            0.016432,            0.014986,             0.60523,             0.67365,             0.69381,             0.39273,            0.024081,           0.0051094,           0.0074873,           0.0080266,           0.0080266,           0.0080266
                  62,            0.030263,             0.01549,            0.014583,             0.69736,             0.68396,             0.75738,             0.43553,            0.022152,           0.0049162,            0.004884,           0.0079937,           0.0079937,           0.0079937
                  63,            0.029324,            0.017491,            0.012961,             0.66939,             0.73842,             0.74749,             0.42519,            0.021872,           0.0050427,           0.0047595,           0.0079608,           0.0079608,           0.0079608
                  64,            0.031392,            0.015595,            0.013491,             0.56045,             0.65734,               0.676,             0.37533,            0.027296,           0.0054164,           0.0059378,           0.0079279,           0.0079279,           0.0079279
                  65,            0.033726,            0.015585,            0.012893,             0.62991,             0.64913,             0.69882,             0.40582,            0.028526,           0.0053562,           0.0069174,            0.007895,            0.007895,            0.007895
                  66,            0.027222,            0.015155,            0.013066,             0.64656,              0.7474,             0.76267,             0.43914,            0.021152,           0.0048278,           0.0049915,           0.0078621,           0.0078621,           0.0078621
                  67,            0.036276,             0.01703,            0.012794,              0.5316,             0.70289,              0.6914,             0.43866,            0.022538,           0.0046706,           0.0060469,           0.0078292,           0.0078292,           0.0078292
                  68,            0.027672,            0.016015,            0.011895,             0.60385,             0.71441,             0.73471,             0.42371,             0.02316,           0.0046042,           0.0057928,           0.0077963,           0.0077963,           0.0077963
                  69,            0.031391,            0.016494,             0.01146,             0.63655,              0.7212,             0.71789,             0.45867,            0.024666,           0.0047666,           0.0060632,           0.0077635,           0.0077635,           0.0077635
                  70,            0.031264,            0.017547,              0.0113,             0.62104,             0.78366,             0.78935,             0.43567,            0.023783,           0.0045903,           0.0048105,           0.0077306,           0.0077306,           0.0077306
                  71,            0.035438,            0.016704,            0.010831,             0.66447,              0.7026,             0.75399,             0.44892,            0.023364,           0.0045648,           0.0049011,           0.0076977,           0.0076977,           0.0076977
                  72,            0.029244,             0.01463,            0.016203,              0.6161,              0.7717,             0.77575,             0.45405,            0.023476,           0.0048258,           0.0049875,           0.0076648,           0.0076648,           0.0076648
                  73,            0.032212,            0.015093,            0.014937,             0.62648,             0.72416,             0.75096,             0.46155,            0.022292,           0.0046315,           0.0047947,           0.0076319,           0.0076319,           0.0076319
                  74,            0.029049,            0.014689,            0.010643,             0.73687,             0.63741,             0.76206,             0.42472,            0.022751,           0.0051259,           0.0085103,            0.007599,            0.007599,            0.007599
                  75,            0.029924,            0.015682,            0.013867,             0.58959,              0.7125,              0.7009,             0.39681,            0.021944,           0.0051003,           0.0090061,           0.0075661,           0.0075661,           0.0075661
                  76,            0.034685,            0.016928,            0.013436,             0.70894,             0.81722,             0.79116,             0.45763,            0.022176,           0.0047615,           0.0039768,           0.0075332,           0.0075332,           0.0075332
                  77,            0.033516,            0.016558,            0.013483,             0.75518,             0.84026,             0.80787,             0.49381,            0.023265,           0.0047258,           0.0042477,           0.0075003,           0.0075003,           0.0075003
                  78,            0.031717,            0.015535,            0.015692,             0.74706,             0.68322,             0.76008,             0.41283,            0.024396,           0.0049352,           0.0053798,           0.0074674,           0.0074674,           0.0074674
                  79,            0.030238,            0.015459,            0.011097,             0.68543,             0.72805,               0.784,             0.44782,            0.023096,           0.0048379,           0.0053617,           0.0074346,           0.0074346,           0.0074346
                  80,            0.029179,            0.015216,            0.010048,             0.66461,             0.69638,             0.77732,             0.44457,            0.021713,           0.0048075,           0.0046672,           0.0074017,           0.0074017,           0.0074017
                  81,            0.026278,            0.016284,             0.01329,             0.70123,             0.79137,             0.82057,             0.46338,            0.021666,           0.0048714,           0.0044377,           0.0073688,           0.0073688,           0.0073688
                  82,            0.028891,            0.016725,            0.010431,             0.68845,             0.80599,             0.79935,              0.4953,            0.023892,           0.0048189,           0.0036176,           0.0073359,           0.0073359,           0.0073359
                  83,            0.026725,            0.014751,           0.0099476,             0.62935,             0.77639,             0.78276,             0.46882,            0.023473,           0.0051339,           0.0044017,            0.007303,            0.007303,            0.007303
                  84,            0.026374,            0.014456,            0.011733,             0.70951,             0.78869,             0.80352,               0.486,            0.022459,           0.0048237,           0.0041075,           0.0072701,           0.0072701,           0.0072701
                  85,            0.031668,            0.016571,            0.010485,             0.67393,             0.80596,             0.81731,             0.50146,            0.020294,           0.0048205,           0.0037698,           0.0072372,           0.0072372,           0.0072372
                  86,            0.028242,            0.015134,             0.01362,             0.69392,             0.71838,             0.78371,             0.45511,            0.021542,           0.0049742,           0.0044666,           0.0072043,           0.0072043,           0.0072043
                  87,            0.027871,             0.01511,            0.014365,             0.64505,             0.77587,             0.79578,             0.48602,            0.021254,            0.004808,           0.0053826,           0.0071714,           0.0071714,           0.0071714
                  88,            0.025265,            0.015988,            0.012414,             0.68565,             0.81698,              0.8192,             0.49624,            0.021299,           0.0047914,           0.0044485,           0.0071385,           0.0071385,           0.0071385
                  89,            0.030536,             0.01533,             0.01265,             0.67365,             0.68776,             0.73081,             0.40915,            0.022545,            0.005233,             0.00541,           0.0071056,           0.0071056,           0.0071056
                  90,             0.02748,            0.014949,            0.014445,             0.72096,             0.74105,             0.76562,             0.46515,            0.022566,           0.0048816,           0.0060598,           0.0070728,           0.0070728,           0.0070728
                  91,            0.025621,            0.015184,            0.010703,             0.67229,             0.65611,              0.7224,             0.41443,            0.023421,           0.0052573,           0.0061466,           0.0070399,           0.0070399,           0.0070399
